com.samsung.shealth.activity.day_summary,6188005,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,0,,0,2019-06-02 19:14:10.061,2019-06-02 19:14:10.061,-1,0,0,0.0,0.0,ab1c905e-bfe3-4709-accf-cdef187d9671.extra_data.json,dNgkxZR9yp,0,com.sec.android.app.shealth,0,-1,ab1c905e-bfe3-4709-accf-cdef187d9671,1557273600000,
0,0,,0,2019-06-02 19:14:09.935,2019-06-02 19:14:09.935,-1,0,0,0.0,0.0,567ef61b-11fd-4169-a511-8103fa4336e6.extra_data.json,dNgkxZR9yp,0,com.sec.android.app.shealth,0,-1,567ef61b-11fd-4169-a511-8103fa4336e6,1557100800000,
0,0,,0,2019-06-02 19:14:09.994,2019-06-02 19:14:09.994,-1,0,0,0.0,0.0,1f96d402-3ead-4109-a271-46f9464107a0.extra_data.json,dNgkxZR9yp,0,com.sec.android.app.shealth,0,-1,1f96d402-3ead-4109-a271-46f9464107a0,1557187200000,
30,20010,,0,2019-06-02 21:21:43.526,2019-06-02 19:14:09.801,60,10672,0,23.175547,1.0650318,b2b3c7ad-0430-4808-a1a5-bbafa3767a07.extra_data.json,dNgkxZR9yp,0,com.sec.android.app.shealth,20010,82980000,b2b3c7ad-0430-4808-a1a5-bbafa3767a07,1559433600000,
0,0,,0,2019-06-02 19:14:10.610,2019-06-02 19:14:10.610,-1,0,0,0.0,0.0,3e382dbe-324c-451c-aaed-2c1f3ca8e156.extra_data.json,dNgkxZR9yp,0,com.sec.android.app.shealth,0,-1,3e382dbe-324c-451c-aaed-2c1f3ca8e156,1557792000000,
0,0,,0,2019-06-02 19:14:10.330,2019-06-02 19:14:10.330,-1,0,0,0.0,0.0,ef9d1fae-e3e4-46e5-a84a-c20515700f24.extra_data.json,dNgkxZR9yp,0,com.sec.android.app.shealth,0,-1,ef9d1fae-e3e4-46e5-a84a-c20515700f24,1557619200000,
0,0,,0,2019-06-02 19:14:10.476,2019-06-02 19:14:10.476,-1,0,0,0.0,0.0,132c3310-4e01-485f-9df3-43839adc8464.extra_data.json,dNgkxZR9yp,0,com.sec.android.app.shealth,0,-1,132c3310-4e01-485f-9df3-43839adc8464,1557705600000,
0,0,,0,2019-06-02 19:14:10.269,2019-06-02 19:14:10.269,-1,0,0,0.0,0.0,581d7611-4dcd-428a-8dc2-af1b6fa2b209.extra_data.json,dNgkxZR9yp,0,com.sec.android.app.shealth,0,-1,581d7611-4dcd-428a-8dc2-af1b6fa2b209,1557532800000,
0,0,,0,2019-06-02 19:14:10.162,2019-06-02 19:14:10.162,-1,0,0,0.0,0.0,92a2c9f5-b094-4e51-bf79-d3d73a5417aa.extra_data.json,dNgkxZR9yp,0,com.sec.android.app.shealth,0,-1,92a2c9f5-b094-4e51-bf79-d3d73a5417aa,1557360000000,
0,0,,0,2019-06-02 19:14:11.179,2019-06-02 19:14:11.179,-1,0,0,0.0,0.0,b2106dd0-7a27-49eb-a5f7-06bc2324c6bf.extra_data.json,dNgkxZR9yp,0,com.sec.android.app.shealth,0,-1,b2106dd0-7a27-49eb-a5f7-06bc2324c6bf,1558224000000,
