com.samsung.shealth.exercise.weather,6188005,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
0.0,,2019-06-24 20:28:44.460,48.81435,,,Clear,,1,TWC,2019-06-24 20:46:23.297,2019-06-24 20:46:23.297,0,2.1909924,27.0,63,UTC+0300,AumAWJiKT9,b0b38726-c2b9-181a-2c6e-8509286cb9b0,com.sec.android.app.shealth,,,,18,17c1ee08-9d19-929e-6634-59dbaa055ab2,
3.0,,2019-07-02 08:17:54.980,48.87289,,,Sunny,,1,TWC,2019-07-02 08:38:43.649,2019-07-02 08:38:43.649,0,2.2906103,21.0,54,UTC+0300,AumAWJiKT9,cf253252-6865-3c9b-3312-7de1f47b62b1,com.sec.android.app.shealth,,,,1,59dfaab1-3900-8244-14e7-f32c7f65b3cd,
2.0,,2019-07-05 06:59:34.390,48.894684,,,Sunny,,1,TWC,2019-07-05 07:12:07.800,2019-07-05 07:12:07.800,0,2.2224886,21.0,54,UTC+0300,AumAWJiKT9,43e3ae7d-0742-eee9-70b4-a6a48667b931,com.sec.android.app.shealth,,,,1,280c4b2f-5acf-9c01-40c3-58e8ad923b8f,
7.0,,2019-07-11 12:30:03.750,48.875015,,,Sunny,,1,TWC,2019-07-11 12:45:34.588,2019-07-11 12:45:34.588,0,2.3071084,29.0,36,UTC+0300,AumAWJiKT9,9aa8296d-6f42-00be-f95a-492078c2eec9,com.sec.android.app.shealth,,,,1,215015eb-220a-2068-f81a-f575059a9b59,
8.0,,2019-07-22 10:52:15.780,44.083828,,,Sunny,,1,TWC,2019-07-22 11:46:43.630,2019-07-22 11:46:43.630,0,6.2616196,32.0,27,UTC+0300,AumAWJiKT9,22093cba-5ee5-8774-0835-779ed1443efe,com.sec.android.app.shealth,,,,1,44aad865-19a6-d06b-0740-3ad5c7bfc05e,
0.0,,2019-07-28 01:12:28.130,43.471046,,,Partly Cloudy,,1,TWC,2019-07-28 01:55:48.362,2019-07-28 01:55:48.362,0,6.430188,18.0,90,UTC+0300,AumAWJiKT9,d0f70c53-bd72-2aef-6619-f999b071c623,com.sec.android.app.shealth,,,,19,09de8864-0843-d546-b7b3-cafadaf49c35,
0.0,,2019-08-09 19:17:33.920,48.807953,,,Clear,,1,TWC,2019-08-09 19:37:50.657,2019-08-09 19:37:50.657,0,2.1287098,21.0,76,UTC+0300,AumAWJiKT9,bec5844d-49bb-70f6-1117-d09f4d75ce0b,com.sec.android.app.shealth,,,,18,f2bf74cc-e554-2631-43e8-c3b16e0b5bda,
,0,2019-08-19 16:47:39.312,48.823307,,W. 260,Sunny,0,1,TWC,2019-08-19 16:47:39.314,2019-08-19 16:47:39.314,1,2.3244965,23.0,43,UTC+0300,dNgkxZR9yp,e6d38109-496d-4b0d-ab25-bc3f71f91462,com.sec.android.app.shealth,km/h,0,13.0,1,770c1396-3555-46e9-8e0b-734d6013aba8,
,0,2019-08-26 09:37:35.297,48.830524,,ENE. 60,Sunny,0,1,TWC,2019-08-26 09:37:35.311,2019-08-26 09:37:35.311,1,2.3388834,29.0,42,UTC+0300,dNgkxZR9yp,076e7504-e66c-40c0-b782-569c3936f9b6,com.sec.android.app.shealth,km/h,0,5.0,1,48166156-9eb5-4680-88fa-f30434cd50a0,
0.0,,2019-09-02 17:10:25.760,48.891846,,,Sunny,,1,TWC,2019-09-02 17:23:36.983,2019-09-02 17:23:36.983,0,2.3519514,22.0,32,UTC+0300,AumAWJiKT9,1a8fa942-50ed-2633-9af8-3ffe010f9189,com.sec.android.app.shealth,,,,1,c557d089-d842-eb9a-8bf1-f01cbc1c4be9,
1.0,,2019-09-08 16:18:26.810,48.714725,,,Sunny,,1,TWC,2019-09-08 16:46:00.095,2019-09-08 16:46:00.095,0,2.1989026,17.0,44,UTC+0300,AumAWJiKT9,70341d56-b915-5801-c3f6-8ebcfcf2452e,com.sec.android.app.shealth,,,,1,6b0ae6d9-a4c1-78a4-db5e-b952f9c7b186,
