com.samsung.shealth.report,6188005,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Africa/Tunis,1559430000000,2019-06-12 12:16:25.616,2019-06-11 11:10:24.083,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,f5f3e9b6-d371-4684-8efa-c67abb2f531b,f5f3e9b6-d371-4684-8efa-c67abb2f531b.compressed_content.json,
Europe/Paris,1558821600000,2019-06-08 11:10:45.390,2019-06-03 11:15:50.090,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,18dcd816-2242-4d6d-a162-5d655e9c8c96,18dcd816-2242-4d6d-a162-5d655e9c8c96.compressed_content.json,
Europe/Paris,1560031200000,2019-06-22 11:10:19.391,2019-06-16 11:10:23.535,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,210e47fb-b857-4f3e-94ac-cb9e21c769c1,210e47fb-b857-4f3e-94ac-cb9e21c769c1.compressed_content.json,
Europe/Paris,1559426400000,2019-06-15 11:11:07.332,2019-06-09 11:10:19.836,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,0c7586b4-20b4-4ada-817d-89e24f35d1b4,0c7586b4-20b4-4ada-817d-89e24f35d1b4.compressed_content.json,
Europe/Paris,1560636000000,2019-06-29 11:16:46.989,2019-06-23 11:10:19.265,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,d2619522-6851-4444-9da1-15741f3d80c5,d2619522-6851-4444-9da1-15741f3d80c5.compressed_content.json,
Europe/Paris,1563055200000,2019-07-27 11:12:18.662,2019-07-21 11:10:27.829,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,5bbf0004-8fac-4fc7-9e00-cccd5b7c942d,5bbf0004-8fac-4fc7-9e00-cccd5b7c942d.compressed_content.json,
Europe/Paris,1561845600000,2019-07-13 11:10:35.254,2019-07-07 11:14:26.028,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,2de2985e-dea0-49a8-9e6c-839c56527439,2de2985e-dea0-49a8-9e6c-839c56527439.compressed_content.json,
Europe/Paris,1563660000000,2019-08-03 11:10:41.944,2019-07-28 11:10:23.963,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,ed4d862a-bab2-466f-b96e-57dd66873ec9,ed4d862a-bab2-466f-b96e-57dd66873ec9.compressed_content.json,
Europe/Paris,1562450400000,2019-07-20 11:10:24.842,2019-07-14 11:15:50.572,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,4a597e9a-3a5d-4f71-8a6f-4f400188c742,4a597e9a-3a5d-4f71-8a6f-4f400188c742.compressed_content.json,
Europe/Paris,1564264800000,2019-08-10 11:10:31.562,2019-08-04 11:15:16.480,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,fc51ed9a-2839-46f5-9d55-ea8b71ca8ca1,fc51ed9a-2839-46f5-9d55-ea8b71ca8ca1.compressed_content.json,
Europe/Paris,1565474400000,2019-08-24 11:14:09.531,2019-08-18 11:10:12.689,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,8bacaff3-65d3-4bb9-b8ab-5d7293fb633f,8bacaff3-65d3-4bb9-b8ab-5d7293fb633f.compressed_content.json,
