com.samsung.shealth.sleep,6188005,5
original_efficiency,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,has_sleep_data,combined_id,data_version,physical_recovery,original_wake_up_time,movement_awakening,original_bed_time,quality,extra_data,sleep_cycle,efficiency,sleep_score,sleep_duration,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,,,,,,,,,,,,0,,,,,,,,d3381afc-429d-5910-0ae1-7e3bf6158cc5.extra_data.json,,80.0,,,2019-06-03 21:08:00.000,,2019-06-04 04:47:44.199,2019-06-04 04:47:44.199,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-04 04:45:00.000,d3381afc-429d-5910-0ae1-7e3bf6158cc5,
,,,,,,,,,,,,0,,,,,,,,190acb73-bf73-2465-eb2c-9041d9ae37ad.extra_data.json,,95.0,,,2019-06-07 20:38:00.000,,2019-06-08 05:38:08.671,2019-06-08 05:38:08.671,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-08 05:38:00.000,190acb73-bf73-2465-eb2c-9041d9ae37ad,
,,,,,,,,,,,,0,,,,,,,,26d9ce95-4035-e268-7d2f-29f0381b9a86.extra_data.json,,80.0,,,2019-06-11 19:24:00.000,,2019-06-11 21:01:31.446,2019-06-11 21:01:31.446,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-11 20:56:00.000,26d9ce95-4035-e268-7d2f-29f0381b9a86,
,,,,,,,,,,,,0,,,,,,,,c2cd900b-f661-d485-21b4-681b8205a71c.extra_data.json,,86.0,,,2019-06-13 20:07:00.000,,2019-06-13 21:13:30.019,2019-06-13 21:13:30.019,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-13 21:12:00.000,c2cd900b-f661-d485-21b4-681b8205a71c,
,,,,,,,,,,,,0,,,,,,,,11d4a188-cbac-4cd1-b69a-e18d2400273c.extra_data.json,,84.0,,,2019-06-16 23:15:00.000,,2019-06-17 04:44:15.760,2019-06-17 04:44:15.760,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-17 04:43:00.000,11d4a188-cbac-4cd1-b69a-e18d2400273c,
,,,,,,,,,,,,0,,,,,,,,38114107-2872-15cb-2a8e-aedf2c7560fe.extra_data.json,,95.0,,,2019-06-20 20:40:00.000,,2019-06-21 05:51:04.974,2019-06-21 05:51:04.974,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-21 05:46:00.000,38114107-2872-15cb-2a8e-aedf2c7560fe,
,,,,,,,,,,,,0,,,,,,,,b3261182-e46b-343e-a0ca-6071002411aa.extra_data.json,,83.0,,,2019-06-26 21:31:00.000,,2019-06-27 04:47:31.754,2019-06-27 04:47:31.754,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-27 04:47:00.000,b3261182-e46b-343e-a0ca-6071002411aa,
,,,,,,,,,,,,0,,,,,,,,4d32cbab-bed5-c170-8080-b4e3477cf012.extra_data.json,,94.0,,,2019-07-01 20:09:00.000,,2019-07-02 05:25:34.754,2019-07-02 05:25:34.754,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-07-02 05:25:00.000,4d32cbab-bed5-c170-8080-b4e3477cf012,
,,,,,,,,,,,,0,,,,,,,,65670d42-2457-4337-ee28-89ae80fab59d.extra_data.json,,82.0,,,2019-07-08 01:00:00.000,,2019-07-08 05:33:39.805,2019-07-08 05:33:39.805,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-07-08 05:24:00.000,65670d42-2457-4337-ee28-89ae80fab59d,
,,,,,,,,,,,,0,,,,,,,,7cde7475-1c97-37b8-2405-d6d721c59d3d.extra_data.json,,88.0,,,2019-07-10 20:17:00.000,,2019-07-11 05:13:34.250,2019-07-11 05:13:34.250,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-07-11 05:11:00.000,7cde7475-1c97-37b8-2405-d6d721c59d3d,
