com.samsung.shealth.stress,6188005,7
start_time,custom,binning_data,tag_id,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2019-06-03 08:15:00.429,,,10000,2019-06-03 08:15:00.429,2019-06-03 08:15:00.429,0.0,0.0,0.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-03 08:15:00.429,ea9ca165-5795-cf02-4519-a0b54579854b,
2019-06-05 06:00:00.000,,f902e8a5-5d41-a249-b3c8-67ff75c6c3dd.binning_data.json,10011,2019-06-05 07:02:40.357,2019-06-05 06:12:29.462,90.0,7.0,34.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-05 06:59:59.999,f902e8a5-5d41-a249-b3c8-67ff75c6c3dd,
2019-06-05 12:00:00.000,,96e310e4-a8d7-e83b-26cf-4880e87aff21.binning_data.json,10011,2019-06-05 13:04:24.360,2019-06-05 12:35:03.823,100.0,0.0,34.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-05 12:59:59.999,96e310e4-a8d7-e83b-26cf-4880e87aff21,
2019-06-05 18:00:00.000,,2f454e71-6d7d-12ea-6743-ab1b667c2cc3.binning_data.json,10011,2019-06-05 19:02:00.108,2019-06-05 18:23:28.428,100.0,0.0,30.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-05 18:59:59.999,2f454e71-6d7d-12ea-6743-ab1b667c2cc3,
2019-06-06 02:00:00.000,,ce383c1d-a4e4-03ce-9a31-3db81a01bcb7.binning_data.json,10011,2019-06-06 03:02:26.424,2019-06-06 03:02:26.424,1.0,0.0,0.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-06 02:59:59.999,ce383c1d-a4e4-03ce-9a31-3db81a01bcb7,
2019-06-06 08:00:00.000,,77d6f445-26a8-6252-893e-394e141983fb.binning_data.json,10011,2019-06-06 09:02:32.599,2019-06-06 09:02:32.599,96.0,0.0,7.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-06 08:59:59.999,77d6f445-26a8-6252-893e-394e141983fb,
2019-06-06 14:00:00.000,,4cbd53a5-d790-efb3-3492-a5e97ce904b5.binning_data.json,10011,2019-06-06 15:04:49.462,2019-06-06 15:04:49.462,100.0,0.0,16.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-06 14:59:59.999,4cbd53a5-d790-efb3-3492-a5e97ce904b5,
2019-06-06 21:00:00.000,,fd107cea-d221-b5ad-89c3-3a758049eb1d.binning_data.json,10011,2019-06-06 22:02:01.772,2019-06-06 21:12:22.918,95.0,0.0,8.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-06 21:59:59.999,fd107cea-d221-b5ad-89c3-3a758049eb1d,
2019-06-07 07:00:00.000,,412b7b15-e35d-a2b7-5c8d-421dc10180cc.binning_data.json,10011,2019-06-07 08:01:25.069,2019-06-07 08:01:25.069,98.0,0.0,12.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-07 07:59:59.999,412b7b15-e35d-a2b7-5c8d-421dc10180cc,
2019-06-07 13:00:00.000,,61b3e9c8-269f-5d10-9bab-29fd1853cded.binning_data.json,10011,2019-06-07 14:02:07.395,2019-06-07 13:22:29.651,99.0,0.0,11.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-07 13:59:59.999,61b3e9c8-269f-5d10-9bab-29fd1853cded,
2019-06-07 19:00:00.000,,0448087c-600d-911e-1941-f21510ca2727.binning_data.json,10011,2019-06-07 20:05:09.656,2019-06-07 19:10:37.242,100.0,0.0,46.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-07 19:59:59.999,0448087c-600d-911e-1941-f21510ca2727,
2019-06-08 09:00:00.000,,f9e7f22d-aea2-12fa-1021-faeacd070594.binning_data.json,10011,2019-06-08 10:02:41.355,2019-06-08 09:46:02.274,100.0,0.0,21.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-08 09:59:59.999,f9e7f22d-aea2-12fa-1021-faeacd070594,
2019-06-08 15:00:00.000,,83afd370-0ca9-27f8-2e42-b69129416156.binning_data.json,10011,2019-06-08 16:03:09.852,2019-06-08 15:15:02.378,100.0,0.0,28.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-08 15:59:59.999,83afd370-0ca9-27f8-2e42-b69129416156,
2019-06-08 21:00:00.000,,41e8e603-3529-bfda-a4cd-8fa589ca55d0.binning_data.json,10011,2019-06-08 22:20:16.547,2019-06-08 21:35:03.463,100.0,0.0,31.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-08 21:59:59.999,41e8e603-3529-bfda-a4cd-8fa589ca55d0,
2019-06-09 10:00:00.000,,054996ce-54f5-6176-e1c2-33e22fac2cbd.binning_data.json,10011,2019-06-09 11:04:52.716,2019-06-09 10:36:33.840,100.0,0.0,50.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-09 10:59:59.999,054996ce-54f5-6176-e1c2-33e22fac2cbd,
2019-06-09 17:00:00.000,,491aed29-d1d7-9d5a-34a5-59900bedeb64.binning_data.json,10011,2019-06-09 18:04:43.161,2019-06-09 18:04:43.161,100.0,0.0,34.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-09 17:59:59.999,491aed29-d1d7-9d5a-34a5-59900bedeb64,
