com.samsung.shealth.tracker.pedometer_day_summary,6188005,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
13,c66e8ab0-38a9-422f-8528-d619a86e27c1.binning_data.json,6139,6000,0,2019-06-03 05:25:45.948,com.sec.android.app.shealth,2019-06-03 05:25:45.948,,1.5555557,9.55,0.46,13,AumAWJiKT9,com.sec.android.app.shealth,0,c66e8ab0-38a9-422f-8528-d619a86e27c1.achievement.json,c66e8ab0-38a9-422f-8528-d619a86e27c1,1559433600000,
7679,bc1fdad0-7e9e-4899-94cd-2c19e26bd0ac.binning_data.json,3573045,6000,125,2019-06-03 23:55:06.812,com.sec.android.app.shealth,2019-06-03 07:55:10.704,,4.611111,5763.23,312.95,7554,AumAWJiKT9,com.sec.android.app.shealth,0,bc1fdad0-7e9e-4899-94cd-2c19e26bd0ac.achievement.json,bc1fdad0-7e9e-4899-94cd-2c19e26bd0ac,1559520000000,
11678,50b72017-b940-4abf-8371-1d3415ccf163.binning_data.json,5858801,6000,476,2019-06-05 00:15:06.240,com.sec.android.app.shealth,2019-06-04 04:47:44.296,,3.6785595,8608.488,467.78583,11202,AumAWJiKT9,com.sec.android.app.shealth,0,50b72017-b940-4abf-8371-1d3415ccf163.achievement.json,50b72017-b940-4abf-8371-1d3415ccf163,1559606400000,
8976,21a736a0-5757-4c61-9962-fe3805e4e037.binning_data.json,4523223,6000,171,2019-06-04 22:00:00.967,com.sec.android.app.shealth,2019-06-04 22:00:00.967,,2.4809153,7073.2505,326.6976,8805,dNgkxZR9yp,com.sec.android.app.shealth,0,21a736a0-5757-4c61-9962-fe3805e4e037.achievement.json,21a736a0-5757-4c61-9962-fe3805e4e037,1559606400000,
7754,e94a66e2-7450-429d-8c45-6cd3f0147dcd.binning_data.json,3620039,6000,251,2019-06-03 22:00:01.706,com.sec.android.app.shealth,2019-06-03 22:00:01.706,,3.7322009,6297.111,287.9627,7503,dNgkxZR9yp,com.sec.android.app.shealth,0,e94a66e2-7450-429d-8c45-6cd3f0147dcd.achievement.json,e94a66e2-7450-429d-8c45-6cd3f0147dcd,1559520000000,
11905,024dffa4-fd1a-4dae-a299-ef15ce5f7f3f.binning_data.json,5880362,6000,617,2019-06-05 21:47:43.458,com.sec.android.app.shealth,2019-06-05 05:10:39.203,,6.333334,8789.488,480.45804,11288,AumAWJiKT9,com.sec.android.app.shealth,0,024dffa4-fd1a-4dae-a299-ef15ce5f7f3f.achievement.json,024dffa4-fd1a-4dae-a299-ef15ce5f7f3f,1559692800000,
8284,fd8d4117-7e33-4312-a92e-6f25cf54c1a7.binning_data.json,4138260,6000,172,2019-06-05 22:00:01.239,com.sec.android.app.shealth,2019-06-05 22:00:01.239,,2.522833,6568.3965,302.5526,8112,dNgkxZR9yp,com.sec.android.app.shealth,0,fd8d4117-7e33-4312-a92e-6f25cf54c1a7.achievement.json,fd8d4117-7e33-4312-a92e-6f25cf54c1a7,1559692800000,
30,e1ff1327-5392-4794-be08-41aa4be7ec1a.binning_data.json,16250,6000,0,2019-06-03 22:00:01.743,com.sec.android.app.shealth,2019-06-03 22:00:01.743,,1.5471932,23.175547,1.0650318,30,dNgkxZR9yp,com.sec.android.app.shealth,0,e1ff1327-5392-4794-be08-41aa4be7ec1a.achievement.json,e1ff1327-5392-4794-be08-41aa4be7ec1a,1559433600000,
11976,90ac2379-67e1-41e8-a956-c86a39d52e2e.binning_data.json,5995649,6000,1129,2019-06-07 22:55:25.676,com.sec.android.app.shealth,2019-06-07 00:35:05.497,,2.6388888,8717.667,486.13184,10847,AumAWJiKT9,com.sec.android.app.shealth,0,90ac2379-67e1-41e8-a956-c86a39d52e2e.achievement.json,90ac2379-67e1-41e8-a956-c86a39d52e2e,1559865600000,
5474,3f48897a-6c4c-4505-8333-b984ef7ef0bd.binning_data.json,2713955,6000,627,2019-06-07 22:00:01.517,com.sec.android.app.shealth,2019-06-07 22:00:01.517,,3.2862325,4533.041,226.13188,4847,dNgkxZR9yp,com.sec.android.app.shealth,0,3f48897a-6c4c-4505-8333-b984ef7ef0bd.achievement.json,3f48897a-6c4c-4505-8333-b984ef7ef0bd,1559865600000,
